time_seconds,key
2.696,down
3.5502,down
4.4391,down
5.3139,down
5.7711,down
6.201,down
7.147,down
7.9939,down
8.896,down
9.3049,down
9.7709,down
10.7009,down
11.5489,down
12.452,down
12.896,down
13.333,down
14.2149,down
15.0689,down
15.9792,down
16.4099,down
16.8689,down
17.8089,down
18.6469,down
19.572,down
20.0009,down
20.454,down
21.371,down
22.2119,down
23.1009,down
23.5459,down
23.983,down
24.8659,down
25.7879,down
26.7059,down
27.116,down
27.5599,down
28.4269,down
29.352,down
30.2128,down
30.65,down
31.1229,down
35.102,down
36.8599,down
42.1859,down
44.0219,down
45.7509,down
46.2029,down
46.7038,down
47.1408,down
47.5789,down
48.8359,down
49.2809,down
49.7478,down
50.2348,down
50.6648,down
51.5118,down
51.9778,down
52.4509,down
52.8938,down
53.3469,down
54.1798,down
54.6519,down
55.0969,down
55.5348,down
56.4589,down
56.9099,down
57.3269,down
57.7848,down
58.6539,down
59.1259,down
59.5768,down
59.7968,down
60.4528,down
60.6567,down
61.3558,down
61.5678,down
62.2108,down
62.4368,down
63.1138,down
63.3248,down
64.0378,down
64.2358,down
64.8777,down
65.0948,down
65.8069,down
66.0329,down
66.6539,down
66.8658,down
67.5499,down
67.7758,down
68.4747,down
68.6799,down
69.3008,down
69.5187,down
70.1688,down
70.6077,down
73.8177,down
74.2347,down
74.6799,down
75.5187,down
75.9567,down
76.4518,down
76.8747,down
77.2967,down
80.4367,down
80.8957,down
81.5518,down
82.3637,down
82.6098,down
82.8647,down
83.3087,down
83.5347,down
84.0147,down
84.4378,down
88.0277,down
88.4237,down
88.8687,down
89.0797,down
89.5737,down
89.7917,down
89.9977,down
90.4077,down
90.8297,down
91.0558,down
91.5067,down
94.6476,down
94.8728,down
95.1068,down
95.7628,down
96.6517,down
96.8497,down
97.0827,down
97.4927,down
97.7237,down
98.1688,down
98.6427,down
99.0937,down
99.5807,down
100.0036,down
100.4277,down
100.8716,down
101.3087,down
101.7817,down
104.4276,down
105.3297,down
106.2176,down
107.1156,down
107.9966,down
108.9067,down
109.7757,down
110.6516,down
111.5607,down
112.4347,down
113.3317,down
114.2277,down
115.1086,down
116.8436,down
117.3186,down
117.7906,down
118.2278,down
118.4676,down
118.9127,down
119.3426,down
119.9776,down
120.1956,down
120.6547,down
121.0976,down
121.7197,down
121.9667,down
122.4466,down
122.8696,down
123.1016,down
123.9647,down
124.1757,down
124.4086,down
124.6766,down
125.1136,down
125.5656,down
125.7695,down
126.1717,down
126.4957,down
126.8486,down
127.2726,down
127.7236,down
128.1906,down
128.4016,down
128.6066,down
128.8446,down
129.0576,down
129.2835,down
129.5026,down
129.7275,down
129.9536,down
130.1996,down
130.6506,down
131.1176,down
131.5406,down
131.9915,down
132.4566,down
132.9085,down
133.3326,down
133.7845,down
134.2425,down
134.6735,down
135.1395,down
135.5766,down
136.0135,down
136.4367,down
136.9096,down
137.3256,down
137.7905,down
138.2426,down
138.6657,down
139.1445,down
139.5955,down
139.9996,down
140.4496,down
140.8875,down
141.3326,down
141.5226,down
141.7416,down
142.4396,down
142.6507,down
142.8905,down
143.1086,down
143.3285,down
143.5256,down
143.8145,down
144.2165,down
144.9086,down
145.3175,down
145.7545,down
145.9665,down
146.5015,down
146.7005,down
146.9049,down
147.3065,down
147.7015,down
147.9266,down
148.3716,down
148.8526,down
149.0145,down
149.1696,down
149.3246,down
149.5716,down
150.6805,down
150.8344,down
151.0115,down
151.3516,down
151.7545,down
151.9724,down
152.6145,down
153.5316,down
153.7504,down
153.9755,down
154.4266,down
154.6525,down
155.1055,down
155.5425,down
156.0086,down
156.1984,down
156.3885,down
156.6845,down
157.7575,down
157.9895,down
158.2014,down
158.4124,down
159.0954,down
159.5195,down
159.9844,down
160.1975,down
160.6764,down
160.8884,down
161.1064,down
161.5225,down
161.9545,down
162.1945,down
162.6245,down
163.1105,down
163.3084,down
163.5255,down
163.7605,down
164.8535,down
165.0784,down
165.2985,down
165.5434,down
165.7834,down
165.9594,down
166.2065,down
166.8904,down
167.7024,down
167.9204,down
168.1674,down
168.6255,down
168.8364,down
169.2824,down
169.7685,down
170.1705,down
171.6164,down
172.0115,down
172.4624,down
172.8934,down
173.3444,down
173.5494,down
173.7604,down
173.9795,down
174.2114,down
174.4324,down
174.6444,down
174.8624,down
175.0884,down
175.3205,down
175.5464,down
175.7576,down
175.9974,down
176.9164,down
177.1344,down
177.3464,down
177.5644,down
177.7624,down
177.9875,down
178.2144,down
178.4395,down
178.6515,down
178.8754,down
179.1014,down
179.3143,down
179.5675,down
180.4425,down
180.6686,down
180.8874,down
181.0984,down
181.3114,down
181.5354,down
181.7615,down
182.0004,down
182.2334,down
182.4674,down
182.6784,down
182.8894,down
183.1095,down
184.0144,down
184.2183,down
184.4234,down
184.6564,down
184.8964,down
185.1224,down
185.3474,down
185.5594,down
185.7774,down
185.9824,down
186.1934,down
186.4065,down
186.6525,down
187.5844,down
187.8014,down
188.0143,down
188.2124,down
188.4453,down
188.6714,down
188.8953,down
189.0944,down
189.3193,down
189.5594,down
189.7914,down
190.0044,down
190.2304,down
191.1114,down
191.3353,down
191.5494,down
191.7744,down
191.9934,down
192.2184,down
192.4455,down
192.6573,down
192.8754,down
193.1094,down
193.3273,down
193.5543,down
193.7873,down
194.6403,down
194.8663,down
195.0854,down
